┌────────────┬───────────────────────┐
│    date    │ seven_days_moving_avg │
│    date    │        double         │
├────────────┼───────────────────────┤
│ 2013-07-01 │                0.3625 │
│ 2013-07-02 │                  0.29 │
│ 2013-07-03 │                0.2417 │
│ 2013-07-04 │                0.2071 │
│ 2013-07-05 │                0.1186 │
│ 2013-07-06 │                  0.14 │
│ 2013-07-07 │                0.0643 │
│ 2013-07-08 │                0.0643 │
│ 2013-07-09 │                   0.1 │
│ 2013-07-10 │                0.1086 │
│ 2013-07-11 │                0.1086 │
│ 2013-07-12 │                0.0771 │
│ 2013-07-13 │                0.0443 │
│ 2013-07-14 │                0.0443 │
│ 2013-07-15 │                0.0443 │
│ 2013-07-16 │                0.0086 │
│ 2013-07-17 │                   0.0 │
│ 2013-07-18 │                   0.0 │
│ 2013-07-19 │                0.0086 │
│ 2013-07-20 │                0.0529 │
│ 2013-07-21 │                0.0529 │
│ 2013-07-22 │                0.0543 │
│ 2013-07-23 │                0.0543 │
│ 2013-07-24 │                0.0543 │
│ 2013-07-25 │                0.0886 │
│ 2013-07-26 │                0.0814 │
│ 2013-07-27 │                0.0371 │
│ 2013-07-28 │                0.0371 │
│ 2013-07-29 │                0.1286 │
│ 2013-07-30 │                0.1286 │
│ 2013-07-31 │                0.1371 │
│ 2013-08-01 │                0.1029 │
│ 2013-08-02 │                0.1014 │
│ 2013-08-03 │                0.1014 │
│ 2013-08-04 │                0.1014 │
│ 2013-08-05 │                0.0743 │
│ 2013-08-06 │                0.0814 │
│ 2013-08-07 │                0.0729 │
│ 2013-08-08 │                0.0729 │
│ 2013-08-09 │                  0.08 │
│ 2013-08-10 │                0.2014 │
│ 2013-08-11 │                0.2014 │
│ 2013-08-12 │                0.1357 │
│ 2013-08-13 │                0.1286 │
│ 2013-08-14 │                0.1286 │
│ 2013-08-15 │                0.1286 │
│ 2013-08-16 │                0.1214 │
│ 2013-08-17 │                   0.0 │
│ 2013-08-18 │                   0.0 │
│ 2013-08-19 │                0.0357 │
│ 2013-08-20 │                0.0357 │
│ 2013-08-21 │                0.0357 │
│ 2013-08-22 │                0.0357 │
│ 2013-08-23 │                0.0414 │
│ 2013-08-24 │                0.0429 │
│ 2013-08-25 │                0.1043 │
│ 2013-08-26 │                0.0686 │
│ 2013-08-27 │                0.0686 │
│ 2013-08-28 │                0.0686 │
